ndvi,lat,lon,alt,acs,species,UNIQ_ID
124,-15.7833,-74.3917,2240,LA446,S. peruvianum,362
107,-17.0167,-72.0833,0,LA1954,S. peruvianum,363
124,-17.5333,-70.0333,3015,LA1969,S. chilense,364
107,-25.4,-70.4,660,LA2891,S. chilense,365
135,-13.3925,-73.915,3100,LA1316,S. chmielewskii,366
128,-14.1525,-71.3886,3480,LA2695,S. chmielewskii,367
127,-12.45,-75.925,3540,LA1691,S. habrochaites,368
128,-5.7667,-77.8667,2160,LA2204,S. habrochaites,369
111,-9.5167,-78.0083,740,LA2580,S. pennellii,370
120,-13.3833,-75.3583,3360,LA1305,S. peruvianum,371
110,-16.2333,-71.7,2585,LA1973,S. peruvianum,372
105,-20.4833,-69.9833,1020,LA2748,S. chilense,373
106,-20.9167,-69.0667,2460,LA2931,S. chilense,374
132,-13.4167,-73.8417,2000,LA1317,S. chmielewskii,375
112,-16.1383,-73.6428,480,LA3788,S. pennellii,376
123,-10.15,-77.35,3540,LA3795,S. peruvianum,377
115,-18.2667,-69.5833,3260,LA2773,S. chilense,378
131,-13.925,-73.025,2880,LA1028,S. chmielewskii,379
136,-13.6833,-72.9583,2300,LA1318,S. chmielewskii,380
111,-9.55,-77.8917,1340,LA1361,S. habrochaites,381
106,-14.4492,-75.2203,620,LA1912,S. pennellii,382
110,-15.7878,-73.3939,1935,LA3791,S. pennellii,383
113,-16.6072,-72.6964,27,LA1474,S. peruvianum,384
100,-17.25,-71.25,1336,LA1958,S. chilense,385
108,-23.6833,-68.0667,2390,LA2884,S. chilense,386
130,-12.95,-74.0167,3340,LA1306,S. chmielewskii,387
137,-13.7333,-71.9833,3110,LA2663,S. chmielewskii,388
121,-10.1417,-77.3833,3140,LA1363,S. habrochaites,389
124,-7.18,-78.52,1340,LA2167,S. habrochaites,390
106,-16.2083,-73.6333,320,LA716,S. pennellii,391
124,-15.7833,-74.3917,2240,LA446,S. peruvianum,392
107,-17.0167,-72.0833,0,LA1954,S. peruvianum,393
124,-17.5333,-70.0333,3015,LA1969,S. chilense,394
107,-25.4,-70.4,660,LA2891,S. chilense,395
135,-13.3925,-73.915,3100,LA1316,S. chmielewskii,396
128,-14.1525,-71.3886,3480,LA2695,S. chmielewskii,397
127,-12.45,-75.925,3540,LA1691,S. habrochaites,398
128,-5.7667,-77.8667,2160,LA2204,S. habrochaites,399
111,-9.5167,-78.0083,740,LA2580,S. pennellii,400
120,-13.3833,-75.3583,3360,LA1305,S. peruvianum,401
110,-16.2333,-71.7,2585,LA1973,S. peruvianum,402
105,-20.4833,-69.9833,1020,LA2748,S. chilense,403
106,-20.9167,-69.0667,2460,LA2931,S. chilense,404
132,-13.4167,-73.8417,2000,LA1317,S. chmielewskii,405
111,-11.5667,-76.73,1840,LA361,S. habrochaites,406
118,-14.2667,-74.9167,2920,LA1918,S. habrochaites,407
111,-11.9008,-76.6633,1020,LA1367,S. pennellii,408
112,-16.1383,-73.6428,480,LA3788,S. pennellii,409
107,-16.2094,-73.6222,75,LA1336,S. peruvianum,410
123,-10.15,-77.35,3540,LA3795,S. peruvianum,411
115,-18.2667,-69.5833,3260,LA2773,S. chilense,412
131,-13.925,-73.025,2880,LA1028,S. chmielewskii,413
136,-13.6833,-72.9583,2300,LA1318,S. chmielewskii,414
111,-9.55,-77.8917,1340,LA1361,S. habrochaites,415
106,-20.9167,-69.0667,2460,LA2931,S. chilense,416
106,-14.4492,-75.2203,620,LA1912,S. pennellii,417
110,-15.7878,-73.3939,1935,LA3791,S. pennellii,418
